OFNS_DESC,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,PREM_TYP_DESC
SEX CRIMES,SODOMY 1,COMPLETED,FELONY,BROOKLYN,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,STREET
SEX CRIMES,SEXUAL ABUSE,ATTEMPTED,FELONY,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE - APT. HOUSE
SEX CRIMES,SODOMY 1,COMPLETED,FELONY,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,COURSE OF SEXUAL CONDUCT AGAIN,COMPLETED,FELONY,QUEENS,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,QUEENS,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,HOTEL/MOTEL
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE-HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,MANHATTAN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,STREET
SEX CRIMES,SEXUAL ABUSE,ATTEMPTED,FELONY,STATEN ISLAND,TELECOMM. STORE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,BUS TERMINAL
SEX CRIMES,SODOMY 1,COMPLETED,FELONY,BROOKLYN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,HOSPITAL
SEX CRIMES,SODOMY 3,COMPLETED,FELONY,QUEENS,DEPARTMENT STORE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,PUBLIC SCHOOL
SEX CRIMES,"SEXUAL ABUSE 3,2",ATTEMPTED,MISDEMEANOR,BRONX,PUBLIC SCHOOL
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,BAR/NIGHT CLUB
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,FOOD SUPERMARKET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,FOOD SUPERMARKET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,HOTEL/MOTEL
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,FAST FOOD
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,PUBLIC SCHOOL
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,QUEENS,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,STREET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,STREET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,COMMERCIAL BUILDING
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE - APT. HOUSE
SEX CRIMES,SODOMY 3,COMPLETED,FELONY,BRONX,HOTEL/MOTEL
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,STREET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,BUS TERMINAL
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,STATEN ISLAND,STREET
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,SODOMY 1,COMPLETED,FELONY,MANHATTAN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,STREET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,STREET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE - APT. HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BROOKLYN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,STREET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,SEXUAL ABUSE,ATTEMPTED,FELONY,STATEN ISLAND,PARK/PLAYGROUND
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,RESTAURANT/DINER
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,GROCERY/BODEGA
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,QUEENS,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,STREET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,STREET
SEX CRIMES,AGGRAVATED SEXUAL ASBUSE,COMPLETED,FELONY,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",ATTEMPTED,MISDEMEANOR,STATEN ISLAND,HOSPITAL
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,STREET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,GROCERY/BODEGA
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE-HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,QUEENS,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE - APT. HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BROOKLYN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,STREET
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,STREET
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,QUEENS,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,SODOMY 1,COMPLETED,FELONY,BROOKLYN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,SODOMY 1,ATTEMPTED,FELONY,QUEENS,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,DRY CLEANER/LAUNDRY
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,PUBLIC SCHOOL
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,CANDY STORE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,STREET
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,SODOMY 1,ATTEMPTED,FELONY,QUEENS,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,PUBLIC SCHOOL
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,PUBLIC SCHOOL
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,OTHER
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
